branch_id,department_id,name,location,timezone
OH,L-108,Verano Ohio CPG,Verano Ohio CPG,-05:00
MA,WFH Lanham,"Boston, MA","Boston, MA",-05:00
PA,WFH Philli,"King Of Prussia, PA","King Of Prussia, PA",-05:00
PA,WFH CC PA,"WFH Glenside, PA - CC","WFH Glenside, PA - CC",-05:00
PA,WFH Ewing,Remote- PA,Remote- PA,-05:00
FL,WFH JL FL,"WFH Destin, FL - JL","WFH Destin, FL - JL",-05:00
FL,WFH JR FL,"WFH Tampa, FL - JR","WFH Tampa, FL - JR",-05:00
PA,WFH - Gera,"Coraopolis, PA","Coraopolis, PA",-05:00
NJ,WFH Branch,"WFH Branchburg, NJ JA","WFH Branchburg, NJ JA",-05:00
PA,L-196.1,Verano Pennsylvania Corporate Office (AK),Verano Pennsylvania Corporate Office (AK),-05:00
NV,L-242.1,Verano Corporate Nevada (Zen-Reno),Verano Corporate Nevada (Zen-Reno),-08:00
CT,L-232.1,Verano Corporate Connecticut (CPG),Verano Corporate Connecticut (CPG),-05:00
NV,L-242,Verano Corporate Nevada (CPG),Verano Corporate Nevada (CPG),-08:00
PA,L-245,Verano Corporate PA (Zen-Jenkintown),Verano Corporate PA (Zen-Jenkintown),-05:00
IL,L-105.1,Verano Corporate Illinois (CPG),Verano Corporate Illinois (CPG),-06:00
NV,L-107.1,Regional Corporate Nevada (CPG),Regional Corporate Nevada (CPG),-08:00
VA,L-167.1,Regional Corporate West Virginia (CPG),Regional Corporate West Virginia (CPG),-05:00
OH,L-108.1,Regional Corporate Ohio (CPG),Regional Corporate Ohio (CPG),-05:00
OH,L-120.1,Regional Corporate Ohio (Zen-Canton),Regional Corporate Ohio (Zen-Canton),-05:00
OH,L-164.1,Regional Corporate Ohio (Zen-Bowling Green),Regional Corporate Ohio (Zen-Bowling Green),-05:00
MD,L-106.1,Verano Corporate Maryland (CPG),Verano Corporate Maryland (CPG),-05:00
MA,L-109.1,Verano Corporate Massachusetts (CPG),Verano Corporate Massachusetts (CPG),-05:00
